Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,Authority,Hub,pageranks
kooperatif,kooperatif,27,74,4,0.431527,0.469939,919.111256,3,0,0.10056,0.10056,0.004955
minat belajar,minat belajar,39,64,4,0.440201,0.487062,1413.878683,3,0,0.14461,0.14461,0.006944
karakter,karakter,32,59,4,0.446483,0.486111,3029.610071,1,0,0.081269,0.081269,0.006248
laboratorium virtual,,9,28,5,0.357551,0.385845,41.715566,1,0,0.029072,0.029072,0.00191
literasi sains,literasi sains,15,42,5,0.378238,0.410921,570.157905,1,0,0.036717,0.036717,0.003222
akm,AKM,17,38,4,0.4,0.435122,892.202633,4,0,0.055417,0.055417,0.003291
numerasi,numerasi,30,49,4,0.413989,0.458333,1177.010325,4,0,0.09474,0.09474,0.005349
bahasa figuratif,,4,19,5,0.312857,0.33105,87.211468,6,0,0.00397,0.00397,0.001319
lagu,,12,30,5,0.350962,0.378957,901.675757,6,0,0.017446,0.017446,0.003035
novel,novel,21,44,5,0.359606,0.39258,1793.950616,6,0,0.01166,0.01166,0.005466
tokoh utama,,11,23,4,0.361088,0.385464,157.623984,6,0,0.012496,0.012496,0.002609
literasi,,9,18,5,0.365609,0.394292,259.905335,3,0,0.026548,0.026548,0.001977
ipa,,16,41,4,0.393885,0.427131,246.895288,0,0,0.061752,0.061752,0.003029
ipas,,18,38,4,0.421965,0.454909,436.448069,0,0,0.091609,0.091609,0.003262
buku soal,,6,23,5,0.328336,0.353805,12.999715,4,0,0.017722,0.017722,0.001288
computational thinking,computational thinking,16,28,4,0.400732,0.434741,322.890504,4,0,0.068765,0.068765,0.002978
evaluasi,evaluasi,13,24,5,0.368687,0.398744,606.291619,1,0,0.033414,0.033414,0.002861
guru,guru,44,74,4,0.430678,0.481735,3678.296468,5,0,0.071917,0.071916,0.008916
persepsi,persepsi,73,137,4,0.494915,0.552702,9701.227422,5,0,0.180416,0.180415,0.014225
orang tua,,17,32,4,0.380539,0.4121,1103.380006,2,0,0.02798,0.02798,0.00394
